rep,entry,loc,trial,plot,line_cultivar
1,1,ithaca,multistate,101,Altair
1,1,ithaca,multistate,102,Altair
1,1,ithaca,multistate,103,Altair
1,13,ithaca,multistate,104,X-59
1,13,ithaca,multistate,105,X-59
1,13,ithaca,multistate,106,X-59
1,9,ithaca,multistate,107,Hlesia
1,9,ithaca,multistate,108,Hlesia
1,9,ithaca,multistate,109,Hlesia
1,3,ithaca,multistate,110,Bialobrzeskie
1,3,ithaca,multistate,111,Bialobrzeskie
1,3,ithaca,multistate,112,Bialobrzeskie
1,2,ithaca,multistate,113,Anka
1,2,ithaca,multistate,114,Anka
1,2,ithaca,multistate,115,Anka
1,11,ithaca,multistate,116,Lara
1,11,ithaca,multistate,117,Lara
1,11,ithaca,multistate,118,Lara
1,8,ithaca,multistate,119,Henola
1,8,ithaca,multistate,120,Henola
1,8,ithaca,multistate,121,Henola
1,12,ithaca,multistate,122,Vega
1,12,ithaca,multistate,123,Vega
1,12,ithaca,multistate,124,Vega
1,5,ithaca,multistate,125,CFX-2
1,5,ithaca,multistate,126,CFX-2
1,5,ithaca,multistate,127,CFX-2
1,7,ithaca,multistate,128,H-51
1,7,ithaca,multistate,129,H-51
1,7,ithaca,multistate,130,H-51
1,6,ithaca,multistate,131,Grandi
1,6,ithaca,multistate,132,Grandi
1,6,ithaca,multistate,133,Grandi
1,10,ithaca,multistate,134,Hliana
1,10,ithaca,multistate,135,Hliana
1,10,ithaca,multistate,136,Hliana
1,4,ithaca,multistate,137,CFX-1
1,4,ithaca,multistate,138,CFX-1
1,4,ithaca,multistate,139,CFX-1
2,13,ithaca,multistate,201,X-59
2,13,ithaca,multistate,202,X-59
2,13,ithaca,multistate,203,X-59
2,12,ithaca,multistate,204,Vega
2,12,ithaca,multistate,205,Vega
2,12,ithaca,multistate,206,Vega
2,8,ithaca,multistate,207,Henola
2,8,ithaca,multistate,208,Henola
2,8,ithaca,multistate,209,Henola
2,9,ithaca,multistate,210,Hlesia
2,9,ithaca,multistate,211,Hlesia
2,9,ithaca,multistate,212,Hlesia
2,3,ithaca,multistate,213,Bialobrzeskie
2,3,ithaca,multistate,214,Bialobrzeskie
2,3,ithaca,multistate,215,Bialobrzeskie
2,5,ithaca,multistate,216,CFX-2
2,5,ithaca,multistate,217,CFX-2
2,5,ithaca,multistate,218,CFX-2
2,11,ithaca,multistate,219,Lara
2,11,ithaca,multistate,220,Lara
2,11,ithaca,multistate,221,Lara
2,1,ithaca,multistate,222,Altair
2,1,ithaca,multistate,223,Altair
2,1,ithaca,multistate,224,Altair
2,4,ithaca,multistate,225,CFX-1
2,4,ithaca,multistate,226,CFX-1
2,4,ithaca,multistate,227,CFX-1
2,7,ithaca,multistate,228,H-51
2,7,ithaca,multistate,229,H-51
2,7,ithaca,multistate,230,H-51
2,6,ithaca,multistate,231,Grandi
2,6,ithaca,multistate,232,Grandi
2,6,ithaca,multistate,233,Grandi
2,2,ithaca,multistate,234,Anka
2,2,ithaca,multistate,235,Anka
2,2,ithaca,multistate,236,Anka
2,10,ithaca,multistate,237,Hliana
2,10,ithaca,multistate,238,Hliana
2,10,ithaca,multistate,239,Hliana
3,1,ithaca,multistate,301,Altair
3,1,ithaca,multistate,302,Altair
3,1,ithaca,multistate,303,Altair
3,7,ithaca,multistate,304,H-51
3,7,ithaca,multistate,305,H-51
3,7,ithaca,multistate,306,H-51
3,2,ithaca,multistate,307,Anka
3,2,ithaca,multistate,308,Anka
3,2,ithaca,multistate,309,Anka
3,4,ithaca,multistate,310,CFX-1
3,4,ithaca,multistate,311,CFX-1
3,4,ithaca,multistate,312,CFX-1
3,5,ithaca,multistate,313,CFX-2
3,5,ithaca,multistate,314,CFX-2
3,5,ithaca,multistate,315,CFX-2
3,13,ithaca,multistate,316,X-59
3,13,ithaca,multistate,317,X-59
3,13,ithaca,multistate,318,X-59
3,12,ithaca,multistate,319,Vega
3,12,ithaca,multistate,320,Vega
3,12,ithaca,multistate,321,Vega
3,6,ithaca,multistate,322,Grandi
3,6,ithaca,multistate,323,Grandi
3,6,ithaca,multistate,324,Grandi
3,3,ithaca,multistate,325,Bialobrzeskie
3,3,ithaca,multistate,326,Bialobrzeskie
3,3,ithaca,multistate,327,Bialobrzeskie
3,9,ithaca,multistate,328,Hlesia
3,9,ithaca,multistate,329,Hlesia
3,9,ithaca,multistate,330,Hlesia
3,10,ithaca,multistate,331,Hliana
3,10,ithaca,multistate,332,Hliana
3,10,ithaca,multistate,333,Hliana
3,8,ithaca,multistate,334,Henola
3,8,ithaca,multistate,335,Henola
3,8,ithaca,multistate,336,Henola
3,11,ithaca,multistate,337,Lara
3,11,ithaca,multistate,338,Lara
3,11,ithaca,multistate,339,Lara
4,8,ithaca,multistate,401,Henola
4,8,ithaca,multistate,402,Henola
4,8,ithaca,multistate,403,Henola
4,5,ithaca,multistate,404,CFX-2
4,5,ithaca,multistate,405,CFX-2
4,5,ithaca,multistate,406,CFX-2
4,9,ithaca,multistate,407,Hlesia
4,9,ithaca,multistate,408,Hlesia
4,9,ithaca,multistate,409,Hlesia
4,11,ithaca,multistate,410,Lara
4,11,ithaca,multistate,411,Lara
4,11,ithaca,multistate,412,Lara
4,4,ithaca,multistate,413,CFX-1
4,4,ithaca,multistate,414,CFX-1
4,4,ithaca,multistate,415,CFX-1
4,3,ithaca,multistate,416,Bialobrzeskie
4,3,ithaca,multistate,417,Bialobrzeskie
4,3,ithaca,multistate,418,Bialobrzeskie
4,2,ithaca,multistate,419,Anka
4,2,ithaca,multistate,420,Anka
4,2,ithaca,multistate,421,Anka
4,6,ithaca,multistate,422,Grandi
4,6,ithaca,multistate,423,Grandi
4,6,ithaca,multistate,424,Grandi
4,13,ithaca,multistate,425,X-59
4,13,ithaca,multistate,426,X-59
4,13,ithaca,multistate,427,X-59
4,10,ithaca,multistate,428,Hliana
4,10,ithaca,multistate,429,Hliana
4,10,ithaca,multistate,430,Hliana
4,1,ithaca,multistate,431,Altair
4,1,ithaca,multistate,432,Altair
4,1,ithaca,multistate,433,Altair
4,7,ithaca,multistate,434,H-51
4,7,ithaca,multistate,435,H-51
4,7,ithaca,multistate,436,H-51
4,12,ithaca,multistate,437,Vega
4,12,ithaca,multistate,438,Vega
4,12,ithaca,multistate,439,Vega
